ts_usc,session,strat,coin,market_duration_min,event_type,size,entry_price,exit_price,size_shares,hold_seconds
2026-02-17T19:10:31.194927+00:00,20260217T191010Z-43684,MultiSignalStrategy,BTC,5,entry,3.419,0.65,,5.26,0.0
2026-02-17T19:15:44.716883+00:00,20260217T191523Z-55016,MultiSignalStrategy,BTC,5,entry,3.1329,0.59,,5.31,0.0
2026-02-17T19:16:05.864056+00:00,20260217T191523Z-55016,MultiSignalStrategy,BTC,5,partial_exit,0.9381,0.59,0.71,1.59,21.147
2026-02-17T19:25:48.598389+00:00,20260217T192508Z-9016,MultiSignalStrategy,BTC,5,entry,2.9322,0.54,,5.43,0.0
2026-02-17T19:30:54.482805+00:00,20260217T193007Z-56376,MultiSignalStrategy,BTC,5,entry,3.2674,0.62,,5.27,0.0
2026-02-17T19:31:23.578955+00:00,20260217T193007Z-56376,MultiSignalStrategy,BTC,5,exit,3.224,0.62,0.48,5.2,29.096
2026-02-17T19:36:05.842576+00:00,20260217T193007Z-56376,MultiSignalStrategy,BTC,5,entry,3.161,0.58,,5.45,0.0
2026-02-17T19:36:21.041586+00:00,20260217T193007Z-56376,MultiSignalStrategy,BTC,5,partial_exit,0.9454,0.58,0.79,1.63,15.199
2026-02-17T19:43:03.846241+00:00,20260217T194216Z-35768,MultiSignalStrategy,BTC,5,entry,3.5778,0.67,,5.34,0.0
