ts_usc,session,strat,coin,market_duration_min,event_type,size,entry_price,exit_price,size_shares,hold_seconds
2026-02-18T06:06:48.596806+00:00,20260218T060544Z-62012,MultiSignalStrategy,BTC,5,entry,4.28,0.8,,5.35,0.0
2026-02-18T06:07:07.285224+00:00,20260218T060544Z-62012,MultiSignalStrategy,BTC,5,partial_exit,1.496,0.8,0.9,1.87,18.689
2026-02-18T06:10:36.193901+00:00,20260218T060544Z-62012,MultiSignalStrategy,BTC,5,entry,3.216,0.6,,5.36,0.0
2026-02-18T06:10:51.398313+00:00,20260218T060544Z-62012,MultiSignalStrategy,BTC,5,partial_exit,0.96,0.6,0.78,1.6,15.204
2026-02-18T06:15:57.640749+00:00,20260218T061534Z-49068,MultiSignalStrategy,BTC,5,entry,3.036,0.55,,5.52,0.0
2026-02-18T06:22:56.977776+00:00,20260218T062007Z-43960,MultiSignalStrategy,BTC,5,entry,3.5778,0.67,,5.34,0.0
2026-02-18T06:23:37.080453+00:00,20260218T062007Z-43960,MultiSignalStrategy,BTC,5,exit,3.5309,0.67,0.62,5.27,40.103
2026-02-18T06:25:33.323943+00:00,20260218T062007Z-43960,MultiSignalStrategy,BTC,5,entry,2.8184,0.52,,5.42,0.0
2026-02-18T06:32:15.125582+00:00,20260218T063140Z-44972,MultiSignalStrategy,BTC,5,entry,3.6924,0.68,,5.43,0.0
2026-02-18T06:32:30.322658+00:00,20260218T063140Z-44972,MultiSignalStrategy,BTC,5,partial_exit,1.292,0.68,0.85,1.9,15.197
2026-02-18T06:33:05.339910+00:00,20260218T063140Z-44972,MultiSignalStrategy,BTC,5,exit,1.0608,0.68,0.87,1.56,50.214
2026-02-18T06:36:28.376994+00:00,20260218T063140Z-44972,MultiSignalStrategy,BTC,5,entry,2.916,0.54,,5.4,0.0
