ts_usc,session,strat,coin,market_duration_min,event_type,size,entry_price,exit_price,size_shares,hold_seconds
2026-02-16T15:20:26.984784+00:00,20260216T151908Z-11412,MultiSignalStrategy,BTC,5,entry,3.2487,0.595,,5.46,0.0
2026-02-16T15:21:02.974678+00:00,20260216T151908Z-11412,MultiSignalStrategy,BTC,5,partial_exit,0.96985,0.595,0.6799999999999999,1.63,35.99
2026-02-16T15:22:35.574125+00:00,20260216T151908Z-11412,MultiSignalStrategy,BTC,5,exit,2.23125,0.595,0.59,3.75,128.589
2026-02-16T15:30:22.935981+00:00,20260216T153002Z-47328,MultiSignalStrategy,BTC,5,entry,2.8971,0.555,,5.22,0.0
2026-02-16T15:30:23.237704+00:00,20260216T153002Z-47328,MultiSignalStrategy,BTC,5,exit,2.8971,0.555,0.555,5.22,0.302
2026-02-16T15:30:39.839814+00:00,20260216T153002Z-47328,MultiSignalStrategy,BTC,5,entry,3.14525,0.575,,5.47,0.0
2026-02-16T15:30:56.523500+00:00,20260216T153002Z-47328,MultiSignalStrategy,BTC,5,partial_exit,0.943,0.575,0.725,1.64,16.683
2026-02-16T15:31:41.340609+00:00,20260216T153002Z-47328,MultiSignalStrategy,BTC,5,partial_exit,0.943,0.575,0.7949999999999999,1.64,61.501
2026-02-16T15:41:09.335958+00:00,20260216T154016Z-40988,MultiSignalStrategy,BTC,5,entry,3.024,0.525,,5.76,0.0
2026-02-16T15:41:52.902157+00:00,20260216T154016Z-40988,MultiSignalStrategy,BTC,5,partial_exit,0.903,0.525,0.595,1.72,43.566
2026-02-16T15:43:14.784462+00:00,20260216T154016Z-40988,MultiSignalStrategy,BTC,5,exit,2.07375,0.525,0.5,3.95,125.449
2026-02-16T15:52:10.434308+00:00,20260216T155014Z-52888,MultiSignalStrategy,BTC,5,entry,4.2504,0.805,,5.28,0.0
2026-02-16T15:52:36.896833+00:00,20260216T155014Z-52888,MultiSignalStrategy,BTC,5,partial_exit,1.4812,0.805,0.855,1.84,26.463
2026-02-16T15:56:21.535777+00:00,20260216T155543Z-14004,MultiSignalStrategy,BTC,5,entry,2.9425,0.535,,5.5,0.0
2026-02-16T15:56:36.760153+00:00,20260216T155543Z-14004,MultiSignalStrategy,BTC,5,partial_exit,0.88275,0.535,0.61,1.65,15.224
2026-02-16T15:57:20.117936+00:00,20260216T155543Z-14004,MultiSignalStrategy,BTC,5,partial_exit,0.88275,0.535,0.735,1.65,58.582
2026-02-16T16:00:44.015393+00:00,20260216T155543Z-14004,MultiSignalStrategy,BTC,5,entry,3.50235,0.645,,5.43,0.0
2026-02-16T16:12:55.360490+00:00,20260216T161218Z-52376,MultiSignalStrategy,BTC,5,entry,3.70585,0.685,,5.41,0.0
2026-02-16T16:15:55.344410+00:00,20260216T161511Z-40552,MultiSignalStrategy,BTC,5,entry,3.06795,0.565,,5.43,0.0
2026-02-16T16:16:20.673031+00:00,20260216T161511Z-40552,MultiSignalStrategy,BTC,5,exit,3.02275,0.565,0.44,5.35,25.329
2026-02-16T16:20:29.163858+00:00,20260216T161511Z-40552,MultiSignalStrategy,BTC,5,entry,2.6967,0.505,,5.34,0.0
2026-02-16T16:21:02.030091+00:00,20260216T161511Z-40552,MultiSignalStrategy,BTC,5,partial_exit,0.808,0.505,0.575,1.6,32.866
2026-02-16T16:21:21.855787+00:00,20260216T161511Z-40552,MultiSignalStrategy,BTC,5,exit,1.8483,0.505,0.505,3.65,52.692
2026-02-16T17:15:36.468635+00:00,20260216T171513Z-38828,MultiSignalStrategy,BTC,5,entry,3.00015,0.565,,5.31,0.0
2026-02-16T17:15:53.778716+00:00,20260216T171513Z-38828,MultiSignalStrategy,BTC,5,partial_exit,0.89835,0.565,0.6399999999999999,1.59,17.31
2026-02-16T17:16:06.893936+00:00,20260216T171513Z-38828,MultiSignalStrategy,BTC,5,partial_exit,0.89835,0.565,0.77,1.59,30.425
2026-02-16T17:21:14.948759+00:00,20260216T172039Z-32880,MultiSignalStrategy,BTC,5,entry,3.49264,0.664,,5.26,0.0
